model,pca_dim,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1
PCA-5 + LogisticRegression,5,0.721315738152506,0.7148470806191112,0.7368694747789911,0.7300948303721425,0.7379095163806553,0.7323687683241121
PCA-10 + LogisticRegression,10,0.7224208541896899,0.7164099335088864,0.7384295371814873,0.7321403737171112,0.7425897035881436,0.7377202704278215
PCA-25 + LogisticRegression,25,0.7286615094584932,0.7234869781760057,0.7363494539781591,0.7306065004562553,0.7389495579823193,0.7350156254474869
PCA-50 + LogisticRegression,50,0.7328219463043619,0.7272734340549363,0.7462298491939677,0.740797631203867,0.748829953198128,0.7445055698421218
PCA-100 + LogisticRegression,100,0.7362023012416303,0.7304860656911208,0.7389495579823193,0.732803604739951,0.7389495579823193,0.7339482780858905
PCA-200 + LogisticRegression,200,0.7410778131703829,0.7357261348958328,0.7306292251690067,0.7248636051631481,0.735309412376495,0.7300382822388936
