model,pca_dim,val_accuracy,val_macro_f1
PCA-5 + LogisticRegression,5,0.7368694747789911,0.7300948303721425
PCA-10 + LogisticRegression,10,0.7384295371814873,0.7321403737171112
PCA-25 + LogisticRegression,25,0.7363494539781591,0.7306065004562553
PCA-50 + LogisticRegression,50,0.7462298491939677,0.740797631203867
PCA-100 + LogisticRegression,100,0.7389495579823193,0.732803604739951
PCA-200 + LogisticRegression,200,0.7306292251690067,0.7248636051631481
